player_id,season_id,Goals_per_shot,Goals_per_Shot_on_Target,Minutes_per_Goal,Total_shots,Average_SofaScore_Rating,Shots_on_target,Shots_inside_box,Shots_outside_box,Regular_play,Goals,Header,Goal_conversion_percentage,Big_chances_missed,Expected_goals_xG,Non_penalty_xG,xG_on_target_xGOT,Penalty_goals,Minutes_played
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,3,0.13,0.33,0.29,53,7.01,21,32,21,36,7,1,13.21,3,4.78,4.78,4.47,0,"2,791"
6a926ff9-8b23-11ef-bdd6-00ff248ba4a4,1,0.22,0.46,0.07,121,7.36,59,114,7,90,27,4,22.31,34,29.32,23.01,27.08,7,"2,556"
6a926ff9-8b23-11ef-bdd6-00ff248ba4a4,2,0.29,0.6,0.06,123,7.36,60,115,8,97,36,7,29.27,28,28.59,23.07,28.99,7,"2,776"
6a927162-8b23-11ef-bdd6-00ff248ba4a4,2,0.19,0.47,0.13,79,7.17,32,62,17,63,15,3,18.99,6,9.13,9.13,10.59,0,"2,805"
6a9272cf-8b23-11ef-bdd6-00ff248ba4a4,2,0.15,0.4,0.14,93,7.08,35,81,12,56,14,6,15.05,13,14.92,8.61,15.78,4,"2,011"
6a927431-8b23-11ef-bdd6-00ff248ba4a4,2,0.33,0.56,0.2,15,6.95,9,11,4,11,5,0,19.4,4,2.27,2.27,3.04,0,"1,504"
6a92759b-8b23-11ef-bdd6-00ff248ba4a4,2,0.16,0.52,0.18,69,7,21,50,19,52,11,0,15.94,6,7.96,7.96,9.5,0,"2,507"
6a927701-8b23-11ef-bdd6-00ff248ba4a4,2,0.12,0.29,0.2,86,7.21,34,52,34,54,10,1,11.63,5,12.08,7.35,12.27,6,"2,886"
6a928752-8b23-11ef-bdd6-00ff248ba4a4,1,0.13,0.32,0.18,83,7.58,34,43,40,62,11,0,13.25,5,9.23,8.44,10.58,1,"2,065"
6a928752-8b23-11ef-bdd6-00ff248ba4a4,2,0.14,0.38,0.2,71,7.12,26,42,29,42,10,2,14.08,1,7.32,6.53,10.3,1,"2,642"
6a928971-8b23-11ef-bdd6-00ff248ba4a4,1,0.27,0.49,0.1,78,7.17,43,67,11,53,21,1,26.92,21,20.29,15.56,22.78,5,"2,265"
6a928971-8b23-11ef-bdd6-00ff248ba4a4,2,0.2,0.4,0.1,51,7.01,25,41,10,38,10,2,19.61,5,8.29,6.71,9.72,2,"1,524"
6a928b5d-8b23-11ef-bdd6-00ff248ba4a4,2,0.29,0.67,0.1,35,6.74,15,33,2,22,10,3,28.57,8,6.6,6.6,3.77,0,"1,411"
6a928c76-8b23-11ef-bdd6-00ff248ba4a4,2,0.23,0.47,0.33,39,7.26,19,24,15,32,9,0,23.08,3,5.41,5.41,6.94,0,"3,245"
6a928dd1-8b23-11ef-bdd6-00ff248ba4a4,1,0.17,0.45,0.11,53,7.27,20,39,14,30,9,0,16.98,9,9.81,7.44,8.48,3,"1,959"
6a928dd1-8b23-11ef-bdd6-00ff248ba4a4,2,0.13,0.27,0.22,71,7.09,33,55,16,59,9,0,12.68,11,9.58,8.79,10.63,1,"2,929"
6a928f57-8b23-11ef-bdd6-00ff248ba4a4,1,0.1,0.24,0.18,108,7.03,46,83,25,77,11,2,10.19,27,16.42,15.63,15.51,0,"2,046"
6a928f57-8b23-11ef-bdd6-00ff248ba4a4,2,0.11,0.24,0.11,84,6.9,37,66,18,66,9,3,10.71,20,11.59,11.59,12.06,0,"1,699"
6a9290f5-8b23-11ef-bdd6-00ff248ba4a4,1,0.11,0.28,0.18,98,7.36,40,62,36,72,11,1,11.22,10,13.12,11.55,14.77,2,"2,657"
6a9290f5-8b23-11ef-bdd6-00ff248ba4a4,2,0.19,0.41,0.11,47,6.9,22,34,13,36,9,0,19.15,4,6.99,6.21,7.79,1,"1,453"
6a92927c-8b23-11ef-bdd6-00ff248ba4a4,2,0.15,0.3,0.25,55,6.7,27,43,12,34,8,0,14.55,7,8.64,6.28,10.83,1,"2,940"
6a929457-8b23-11ef-bdd6-00ff248ba4a4,2,0.09,0.21,0.29,74,7.3,34,52,22,66,7,0,9.46,11,7.2,7.2,8.85,0,"2,724"
6a9295f5-8b23-11ef-bdd6-00ff248ba4a4,2,0.15,0.47,0.29,46,7.06,15,24,22,38,7,0,15.22,1,3.53,3.53,3.92,0,"2,501"
6a92977b-8b23-11ef-bdd6-00ff248ba4a4,1,0.12,0.33,0.12,66,7.11,24,49,17,48,8,3,12.12,6,8.96,8.96,6.48,0,"1,644"
6a92977b-8b23-11ef-bdd6-00ff248ba4a4,2,0.18,0.54,0.14,39,7.05,13,30,9,33,7,0,17.95,6,6.22,6.22,6.14,0,"1,465"
6a929904-8b23-11ef-bdd6-00ff248ba4a4,2,0.18,0.5,0.43,40,7.05,14,26,14,32,7,2,17.5,3,4.71,4.71,6.14,0,"3,004"
6a929a8d-8b23-11ef-bdd6-00ff248ba4a4,2,0.18,0.39,0.29,38,6.91,18,22,16,26,7,0,18.42,3,4.87,4.87,5.35,0,"2,783"
6a929c17-8b23-11ef-bdd6-00ff248ba4a4,2,0.13,0.33,0.29,52,6.86,21,46,6,46,7,2,13.46,12,8.1,8.1,7.23,0,"2,315"
6a929d97-8b23-11ef-bdd6-00ff248ba4a4,1,0.2,0.48,0.09,109,7.7,46,57,52,76,22,2,20.18,7,18.21,11.11,19.98,9,"2,624"
6a929f1e-8b23-11ef-bdd6-00ff248ba4a4,1,0.17,0.5,0.16,109,7.04,38,97,12,77,19,4,17.43,14,19.63,17.27,16.11,2,"3,331"
6a92a0a9-8b23-11ef-bdd6-00ff248ba4a4,1,0.35,0.55,0.12,46,7.03,29,45,1,29,16,1,34.78,7,10.94,9.36,13.39,2,"2,283"
6a92a232-8b23-11ef-bdd6-00ff248ba4a4,1,0.18,0.34,0.14,80,7.01,41,69,11,63,14,3,17.5,24,18.64,18.64,15.93,0,"2,804"
6a92a3d6-8b23-11ef-bdd6-00ff248ba4a4,1,0.16,0.32,0.17,73,7.26,38,49,24,53,12,2,16.44,6,9.49,8.7,10.55,1,"2,453"
6a92a525-8b23-11ef-bdd6-00ff248ba4a4,1,0.18,0.46,0.17,67,7.09,26,55,12,49,12,0,17.91,12,10.57,10.57,9.1,0,"2,508"
